Chose device: name='Tesla M2070' index=0 id=0x3b89230
test	atts	units	median	mean	stddev	min	max	trial0	trial1	trial2	trial3	trial4	trial5	trial6	trial7	trial8	trial9	
ReadbackLatencyEstimate	1-4kb	ms	0.235667	0.240533	0.0309384	0.202333	0.303667	0.303667	0.256333	0.202333	0.267	0.206667	0.223667	0.215333	0.218333	0.264333	0.247667	
ReadbackLatencyEstimate	2-4kb	ms	0.235	0.23	0.0304302	0.169	0.285	0.169	0.233	0.261	0.221	0.244	0.237	0.238	0.285	0.205	0.207	
ReadbackSpeed	     1kB	GB/sec	0.00442201	0.00437836	0.000437135	0.00348299	0.00489952	0.00348299	0.0042314	0.00489952	0.004	0.00489952	0.00461261	0.00471889	0.0046758	0.0040315	0.0042314	
ReadbackSpeed	     2kB	GB/sec	0.00912363	0.00904808	0.000475039	0.00809486	0.00957009	0.00943779	0.00948148	0.00835918	0.00922523	0.00890435	0.00902203	0.00890435	0.00809486	0.00957009	0.00948148	
ReadbackSpeed	     4kB	GB/sec	0.0184091	0.0183689	0.00119527	0.0154566	0.0205829	0.0154566	0.0205829	0.0178865	0.0183677	0.018963	0.0188756	0.0184505	0.0185339	0.0183677	0.0182044	
ReadbackSpeed	     8kB	GB/sec	0.0364902	0.035566	0.00196716	0.0310303	0.0372364	0.0351588	0.0369009	0.0365714	0.0367354	0.0365714	0.0326375	0.0310303	0.0364089	0.0364089	0.0372364	
ReadbackSpeed	    16kB	GB/sec	0.0721762	0.071434	0.00267889	0.0647589	0.0748128	0.0647589	0.0728178	0.0706207	0.0731429	0.0688403	0.0721762	0.0728178	0.0721762	0.0721762	0.0748128	
ReadbackSpeed	    32kB	GB/sec	0.128504	0.129223	0.00989369	0.117029	0.151704	0.129008	0.117029	0.134295	0.117029	0.133747	0.128	0.125548	0.135405	0.120471	0.151704	
ReadbackSpeed	    64kB	GB/sec	0.235319	0.227927	0.0122946	0.207392	0.240059	0.213472	0.239182	0.207392	0.237449	0.210051	0.234896	0.235741	0.224438	0.236592	0.240059	
ReadbackSpeed	   128kB	GB/sec	0.350008	0.350361	0.00555833	0.340447	0.357144	0.355209	0.347671	0.357144	0.347671	0.357144	0.346751	0.340447	0.355209	0.352344	0.344021	
ReadbackSpeed	   256kB	GB/sec	0.498923	0.492411	0.028243	0.452753	0.548418	0.548418	0.511002	0.511002	0.507048	0.492752	0.46562	0.466448	0.452753	0.463972	0.505094	
ReadbackSpeed	   512kB	GB/sec	0.630535	0.620105	0.0249968	0.568026	0.651289	0.632434	0.597139	0.651289	0.597139	0.610347	0.629397	0.634731	0.631672	0.648871	0.568026	
ReadbackSpeed	  1024kB	GB/sec	0.765394	0.759941	0.031505	0.707064	0.815378	0.815378	0.768188	0.725658	0.78019	0.725156	0.762601	0.773857	0.707064	0.790185	0.751129	
ReadbackSpeed	  2048kB	GB/sec	1.10231	1.10354	0.0118597	1.09	1.13298	1.13298	1.09684	1.11314	1.1026	1.10668	1.09741	1.10202	1.09056	1.10318	1.09	
ReadbackSpeed	  4096kB	GB/sec	1.25729	1.26044	0.00882321	1.25091	1.27992	1.26908	1.25166	1.26831	1.2524	1.26031	1.25729	1.25091	1.27992	1.25729	1.25729	
ReadbackSpeed	  8192kB	GB/sec	1.37394	1.37265	0.00673719	1.36068	1.3813	1.37248	1.3813	1.36068	1.37631	1.36378	1.37293	1.37496	1.36556	1.37993	1.37857	
ReadbackSpeed	 16384kB	GB/sec	1.43266	1.43282	0.000969235	1.43077	1.43456	1.43077	1.43248	1.43309	1.43383	1.43285	1.43346	1.43248	1.43236	1.43236	1.43456	
